Boat,Vessel#,matched_number,file_number,tele_num,fish_times,max_diff_depth,min_diff_depth,average_diff_depth,max_diff_temp,min_diff_temp,average_diff_temp,min_lat,max_lat,min_lon,max_lon
Mystic,8,2.0,3.0,305.0,0.0,-1.0,-1.0,-1.0,1032.57,1030.59,1031.58,42.25245333333334,42.31345666666666,-70.32139333333333,-70.30334166666667
Ellen_Diane,2,0.0,0.0,449.0,1.0,,,,,,,42.661229999999996,43.00156,-70.81819,-70.30233
Virginia_Marise,3,0.0,0.0,422.0,151.0,,,,,,,40.2502,41.38008,-71.76227,-71.03612
Lisa_Ann_III,5,0.0,0.0,691.0,105.0,,,,,,,42.26807,42.89181,-70.87016,-70.25218000000001
Dyrsten,4,0.0,0.0,58.0,5.0,,,,,,,38.3818,42.61518,-74.42903000000001,-67.35023000000001
Mister_G,6,0.0,0.0,740.0,74.0,,,,,,,40.851659999999995,41.38395,-71.63792,-71.12866
Illusion,9,0.0,0.0,1607.0,39.0,,,,,,,35.98645,42.2528,-75.09574,-66.42055
Elizabeth_Katherine,7,0.0,0.0,134.0,0.0,,,,,,,39.36237,41.38158,-72.49279,-70.14636999999999
Sao_Paulo,11,184.0,197.0,437.0,35.0,25.0,-1.0,1.7989,1584.0,637.56,1026.2847,39.54361166666667,42.35958666666667,-73.32700666666666,-67.451095
BantryBay,12,0.0,0.0,65.0,0.0,,,,,,,42.415409999999994,42.76453,-70.72708,-70.2745
Mary_K,16,0.0,0.0,179.0,12.0,,,,,,,40.94058,42.255390000000006,-70.92149,-67.33458
Linda_Marie,17,0.0,0.0,245.0,19.0,,,,,,,40.21632,41.45162,-71.84275,-71.15098
Wendy_Lee,18,0.0,0.0,0.0,53.0,,,,,,,,,,
Resolve,14,0.0,0.0,24.0,0.0,,,,,,,42.13557,42.17685,-70.30192,-70.26881
Excalibur,19,0.0,0.0,11.0,29.0,,,,,,,40.59299,41.48945,-71.3223,-70.60977
Nicole_Leigh,20,0.0,4.0,0.0,8.0,,,,,,,42.98280166666667,43.107701666666664,-69.41877666666666,-69.19880833333333
Tenacious_II,21,24.0,27.0,24.0,12.0,139.0,0.0,27.25,1327.56,588.06,848.9212,40.03625833333333,43.25858,-70.48961,-67.56526000000001
Lady_Claire,23,0.0,1.0,0.0,3.0,,,,,,,40.50266833333333,40.50266833333333,-71.60588,-71.60588
Finlander II,24,3.0,4.0,65.0,3.0,0.0,-1.0,-0.3333,798.93,748.42,766.2533,42.64330499999999,42.69744000000001,-70.419995,-70.29220666666667
Proud_Mary,25,0.0,0.0,0.0,0.0,,,,,,,,,,
Alicia_Ann,26,0.0,0.0,0.0,0.0,,,,,,,,,,
Tribiah_Lee,27,0.0,0.0,0.0,0.0,,,,,,,,,,
Dawn_T,28,0.0,0.0,0.0,0.0,,,,,,,,,,
Lady_Rebecca,29,0.0,0.0,0.0,0.0,,,,,,,,,,
Finlander_I ,30,0.0,0.0,0.0,0.0,,,,,,,,,,
Fremantle_Doctor,31,0.0,0.0,0.0,0.0,,,,,,,,,,
Lina_Rose,32,0.0,0.0,0.0,0.0,,,,,,,,,,
Dorcas_Anne,33,0.0,0.0,0.0,0.0,,,,,,,,,,
Debbie Sue,34,0.0,0.0,0.0,0.0,,,,,,,,,,
Charger,35,0.0,0.0,0.0,0.0,,,,,,,,,,
Michelle_Jean_II,36,0.0,0.0,0.0,0.0,,,,,,,,,,
Virginia_Marie,37,0.0,0.0,0.0,0.0,,,,,,,,,,
Tina Marie II,39,0.0,0.0,0.0,0.0,,,,,,,,,,
Devocean,40,0.0,0.0,0.0,0.0,,,,,,,,,,
Adie_Alden,38,0.0,0.0,0.0,0.0,,,,,,,,,,
Terri Ann,41,0.0,0.0,0.0,0.0,,,,,,,,,,
Nathaniel Lee,42,0.0,0.0,0.0,0.0,,,,,,,,,,
Total,,213.0,236.0,5456.0,,,,,,,,,,,
tele_total_num,,,,16.0,,,,,,,,,,,
