,vessel,datet,lat,lon,depth,depth_range,hours,mean_temp,std_temp
0,Vessel_11,2018-09-15 13:03:09,41.8385,-67.9171,50.0,8.0,3.2,13.32,0.57
1,Vessel_11,2018-09-15 16:35:24,41.8424,-67.9178,52.0,8.0,2.925,12.74,0.75
2,Vessel_11,2018-09-18 13:59:05,41.9851,-67.7393,60.0,4.0,1.1,9.23,0.19
3,Vessel_11,2018-10-09 13:29:28,39.8353,-72.1026,95.0,6.0,2.75,12.83,0.03
4,Vessel_11,2018-10-20 13:01:27,39.7952,-72.237,93.0,6.0,1.95,12.88,0.23
5,Vessel_11,2018-10-20 17:07:07,39.7717,-72.2786,94.0,5.0,3.35,12.8,0.19
6,Vessel_11,2018-10-20 22:21:57,39.7955,-72.2511,91.0,5.0,4.625,12.94,0.27
7,Vessel_11,2018-12-20 06:10:09,40.8155,-71.1818,60.0,4.0,3.75,10.14,0.05
8,Vessel_20,2018-12-14 03:28:30,43.0126,-69.30199999999999,193.0,32.0,6.125,8.36,0.06
9,Vessel_20,2018-12-14 11:33:30,43.0081,-69.3353,197.0,33.0,7.175,8.34,0.02
10,Vessel_20,2018-12-14 19:27:30,43.0223,-69.2337,197.0,32.0,6.825,8.36,0.02
11,Vessel_20,2018-12-31 13:26:30,43.0227,-69.2602,192.0,31.0,7.45,8.52,0.02
12,Vessel_21,2018-11-01 11:31:50,43.227,-69.3479,113.0,11.0,2.05,9.02,0.08
13,Vessel_21,2018-11-01 17:30:49,42.8895,-68.8139,189.0,20.0,1.825,8.11,0.02
14,Vessel_21,2018-11-06 01:14:38,42.1722,-69.9112,108.0,14.0,2.525,7.73,0.02
15,Vessel_23,2018-12-21 09:18:00,40.5027,-71.6059,77.0,7.0,272.125,12.95,1.14
16,Vessel_24,2018-12-20 18:01:00,42.6817,-70.2962,138.0,22.0,1.2,7.93,0.0
17,Vessel_8,2018-11-12 13:51:30,42.2901,-70.3135,40.0,6.0,0.8,10.47,0.04
